StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       05,      04,   199812,    .71,     26,   2.45,   2.45,   -.06,   2.16,      0,   1209,    .01,    .13,    .81,     .9,    .25,     .2,   1.28,   12.7,   39.3,
       05,      04,   199901,    .86,     30,   2.33,   2.33,    .38,   2.13,      0,   1085,    .58,     .3,    .33,    .17,    .32,    .29,   1.24,   18.1,   41.9,
       05,      04,   199902,    .42,     34,   1.72,   1.72,  -1.11,   1.02,      0,    868,  -1.05,   -.35,   -.36,    .13,    .52,    .16,   1.11,   19.4,   48.6,
       05,      04,   199903,    .56,   38.8,    .56,    .56,  -2.96,  -1.31,      0,    812,  -1.46,  -1.93,  -1.24,   -.06,    .38,   -.07,   1.17,   23.5,   54.2,
       05,      04,   199904,   4.88,   39.3,   2.35,   2.35,   5.54,   2.35,      0,    771,      2,   1.53,   1.33,   1.26,    .99,    .92,   1.95,   26.7,   51.8,
       05,      04,   199905,   2.76,   50.5,   2.49,   2.49,   1.17,   2.49,      0,    450,    .41,   1.76,   1.34,   1.17,   1.17,   1.36,   1.92,     37,   64.1,
       05,      04,   199906,   2.12,   60.3,   2.69,   2.69,   1.35,   2.69,     26,    167,    .39,    .48,   1.65,   1.18,   1.33,   1.53,   1.67,   45.6,   75.1,
       05,      04,   199907,   2.42,   69.2,   3.05,   3.05,   1.93,   3.05,    140,     10,    .24,    .39,    .51,   1.12,   1.12,   1.03,   1.62,   54.5,   83.9,
       05,      04,   199908,   3.08,     66,   4.07,   4.07,   3.99,   4.07,     71,     40,   1.49,   1.26,   1.06,    1.7,   1.52,   1.55,   1.52,   52.1,     80,
       05,      04,   199909,   1.72,   54.5,   4.29,   4.29,   1.91,   4.29,      0,    319,    .62,   1.32,   1.23,   2.07,   1.61,    1.8,   1.71,   39.9,   69.1,
       05,      04,   199910,    .53,   47.3,    -.3,   3.55,   -.89,   3.15,      0,    549,   -.87,   -.15,    .71,    .71,   1.23,   1.23,   1.16,   30.2,   64.3,
       05,      04,   199911,    .52,   41.5,   -.94,   2.51,  -2.02,   1.29,      0,    705,   -.53,  -1.17,    -.4,    .48,   1.22,   1.12,   1.02,   25.1,     58,
       05,      04,   199912,    .68,   29.6,   -.91,   2.19,    -.2,    .88,      0,   1097,   -.07,   -.58,  -1.11,    .38,   1.48,   1.11,    .97,     17,   42.1,
       05,      04,   200001,    .87,   29.3,    -.7,   2.07,    .33,    .89,      0,   1107,     .6,    .26,   -.22,    .49,    .56,   1.11,   1.04,     17,   41.5,
       05,      04,   200002,    .85,   34.6,   -.68,   1.81,   -.15,    .58,      0,    851,    .34,    .56,     .3,   -.22,    .51,   1.25,   1.05,   20.9,   48.3,
       05,      04,   200003,   1.92,   36.8,    -.4,   1.83,    .64,    .82,      0,    874,   1.06,   1.06,   1.17,   -.05,    .83,   1.69,   1.28,   24.1,   49.6,
       05,      04,   200004,   1.55,   45.7,   -.79,   1.21,  -1.31,   -.19,      0,    579,   -.29,    .28,    .29,    .06,    .47,    .59,   1.22,   29.6,   61.8,
       05,      04,   200005,   1.83,   55.6,  -1.45,  -1.45,  -2.21,  -1.45,      7,    298,   -.48,    -.7,   -.23,   -.12,    -.4,    .24,   1.16,   40.2,     71,
       05,      04,   200006,   1.07,   62.4,  -2.09,  -2.09,  -2.36,  -2.09,     46,    124,   -.89,  -1.01,   -1.1,   -.49,   -.89,   -.11,   1.05,   46.2,   78.5,
       05,      04,   200007,   1.67,   70.5,  -2.75,  -2.75,  -2.62,  -2.75,    176,      5,    -.8,  -1.18,  -1.29,   -.83,   -.86,   -.39,    .47,   54.3,   86.6,
       05,      04,   200008,   2.21,   69.2,  -2.64,  -2.64,   -.51,  -2.64,    140,     10,    .55,   -.23,   -.69,   -.66,   -.55,   -.74,    .64,   53.5,     85,
       05,      04,   200009,   1.75,   58.5,   -2.2,   -2.2,    .49,  -1.93,     13,    208,    .65,    .72,    .15,   -.75,   -.32,   -.69,    .91,   42.8,   74.1,
       05,      04,   200010,     .9,   46.9,  -2.16,  -2.16,   -.56,  -2.07,      0,    561,   -.15,    .21,     .4,   -.65,   -.45,   -.49,    .58,   32.9,   60.8,
       05,      04,   200011,    .77,   26.3,  -1.93,  -1.93,    .03,  -1.76,      0,   1161,    .08,   -.24,    .17,   -.48,   -.51,   -.43,    .53,   14.4,   38.3,
       05,      04,   200012,    .72,   24.9,  -1.84,  -1.84,   -.33,  -1.74,      0,   1243,    .03,   -.06,   -.29,   -.13,   -.79,   -.43,    .51,   11.9,   37.9,
       05,      04,   200101,    .59,     26,  -1.89,  -1.89,   -.72,  -1.89,      0,   1209,   -.21,    -.2,   -.21,    .21,   -.69,   -.52,    .44,   12.9,   39.1,
       05,      04,   200102,    .79,   26.9,  -1.79,  -1.79,   -.28,  -1.79,      0,   1067,    .18,   -.13,   -.18,    .04,   -.52,   -.55,    .51,     15,   38.7,
       05,      04,   200103,   1.32,   35.3,  -1.87,  -1.87,   -.79,  -1.87,      0,    921,    .27,     .2,    .01,   -.28,   -.15,   -.76,    .73,   23.2,   47.4,
       05,      04,   200104,   2.05,     45,  -1.91,  -1.91,    -.7,  -1.91,      0,    600,    .25,     .2,    .16,   -.04,    .16,    -.6,      0,   31.3,   58.7,
       05,      04,   200105,    3.3,   52.7,  -1.44,  -1.44,    .81,   -.99,      0,    381,    .82,    .61,    .56,    .46,    .42,   -.11,    .15,     39,   66.5,
       05,      04,   200106,   1.11,   63.7,  -1.93,  -1.93,  -1.91,  -1.93,     63,    102,   -.83,    .18,    .13,    .05,   -.12,   -.06,   -.09,   47.5,   79.9,
       05,      04,   200107,   2.63,   70.8,  -1.74,  -1.74,   -.02,  -1.68,    185,      0,    .53,   -.28,    .37,    .26,    .17,    .32,   -.05,   55.4,   86.3,
       05,      04,   200108,   1.71,   67.3,  -1.81,  -1.81,   -.75,  -1.81,     95,     24,   -.09,    .19,   -.36,    .13,    .11,    .14,   -.42,     52,   82.6,
       05,      04,   200109,   1.42,   60.1,  -1.71,  -1.71,   -.26,  -1.71,     22,    169,     .3,    .04,    .24,    .18,    .15,      0,   -.59,   43.8,   76.3,
       05,      04,   200110,    .53,     47,  -1.99,  -1.99,  -1.37,  -1.99,      0,    558,   -.87,   -.43,   -.46,    -.1,   -.03,   -.09,   -.57,   31.8,   62.2,
       05,      04,   200111,   1.01,   37.6,  -1.92,  -1.92,   -.41,  -1.92,      0,    822,    .55,   -.41,   -.23,   -.46,      0,   -.03,   -.41,     23,   52.2,
       05,      04,   200112,    .34,   27.8,   -2.2,   -2.2,  -1.42,   -2.2,      0,   1153,  -1.18,    -.3,   -.91,   -.33,   -.18,   -.18,   -.45,   14.9,   40.7,
       05,      04,   200201,     .6,   25.9,  -2.28,  -2.28,   -.92,  -2.28,      0,   1212,   -.18,  -1.02,    -.4,   -.63,   -.25,   -.17,   -.52,   12.2,   39.5,
       05,      04,   200202,    .49,   27.9,   -2.5,   -2.5,  -1.36,   -2.5,      0,   1039,   -.78,   -.76,  -1.31,   -.82,   -.79,    -.3,   -.61,   12.5,   43.4,
       05,      04,   200203,    .92,   30.6,  -2.73,  -2.73,  -1.46,  -2.73,      0,   1066,   -.45,   -.96,   -.97,  -1.33,   -.69,   -.42,   -.88,   15.9,   45.2,
       05,      04,   200204,    .42,   46.2,  -3.91,  -3.91,  -4.39,  -3.91,      0,    564,  -3.09,   -2.5,  -2.43,  -1.92,  -1.66,  -1.04,  -1.27,   30.5,   61.9,
       05,      04,   200205,   1.22,   51.9,  -4.82,  -4.82,  -3.95,  -4.82,      0,    406,  -1.31,  -2.56,  -2.31,   -2.8,   -2.3,   -1.8,  -1.39,   36.2,   67.6,
       05,      04,   200206,   1.25,   66.7,  -5.77,  -5.77,  -4.32,  -5.77,    109,     58,   -.63,  -1.48,   -2.4,  -2.29,  -2.38,  -1.86,  -1.42,   49.6,   83.8,
       05,      04,   200207,    .97,   71.4,  -7.03,  -7.03,  -5.56,  -7.03,    202,      0,   -1.8,  -1.69,  -2.51,   -2.8,  -2.75,  -2.67,   -1.6,   54.7,   88.2,
       05,      04,   200208,   1.66,   66.4,  -6.99,  -6.99,  -2.06,  -6.99,     78,     35,   -.16,  -1.37,  -1.39,   -2.3,  -2.76,  -2.68,  -1.89,   50.3,   82.6,
       05,      04,   200209,   1.48,   58.5,  -6.41,  -6.41,   -.42,  -6.41,     13,    208,    .36,    .05,   -.94,  -2.18,  -2.32,  -2.45,  -1.86,     44,   72.9,
       05,      04,   200210,   1.34,   41.5,  -5.37,  -5.37,   1.14,   -4.9,      0,    728,    .45,    .36,    .13,  -1.33,  -2.17,  -2.18,   -1.7,   27.7,   55.3,
       05,      04,   200211,    .71,   33.2,  -4.93,  -4.93,   -.32,  -4.52,      0,    954,   -.06,    .21,    .26,   -.91,  -1.87,  -2.21,  -1.69,     21,   45.4,
       05,      04,   200212,    .24,   29.1,  -4.99,  -4.99,  -1.73,  -4.99,      0,   1113,  -1.64,  -1.08,    -.4,   -.99,  -2.04,  -2.22,  -1.67,   16.2,     42,
       05,      04,   200301,    .34,   32.5,   -5.1,   -5.1,  -1.85,   -5.1,      0,   1008,  -1.08,     -2,  -1.48,   -.53,  -1.59,  -2.35,  -1.73,     19,     46,
       05,      04,   200302,   1.04,   25.1,  -4.61,  -4.61,   -.11,  -4.59,      0,   1117,    .82,   -.13,   -.98,   -.23,  -1.11,  -1.99,   -1.6,   12.7,   37.6,
       05,      04,   200303,   3.29,   36.1,  -3.17,  -3.17,   2.88,  -2.02,      0,    896,   2.34,   2.65,   2.26,   1.13,    .03,  -1.22,  -1.17,   23.5,   48.7,
       05,      04,   200304,    2.3,   45.6,  -2.79,  -2.79,    .18,  -1.54,      0,    582,    .47,   1.61,   1.77,   1.02,    .82,   -.54,  -1.23,   31.5,   59.7,
