"STATION","STATION_NAME","ELEVATION","LATITUDE","LONGITUDE","DATE","HPCP","Measurement.Flag","Quality.Flag","DateTime"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490402 03:00",0.01," "," ","1949-04-02 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490402 07:00",0.02," "," ","1949-04-02 07:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490402 08:00",0.03," "," ","1949-04-02 08:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490402 09:00",0.01," "," ","1949-04-02 09:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490402 10:00",0.01," "," ","1949-04-02 10:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490402 11:00",0.03," "," ","1949-04-02 11:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490402 13:00",0.01," "," ","1949-04-02 13:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490403 02:00",0.01," "," ","1949-04-03 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490403 03:00",0.02," "," ","1949-04-03 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490403 06:00",0.02," "," ","1949-04-03 06:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490403 07:00",0.01," "," ","1949-04-03 07:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490403 09:00",0.01," "," ","1949-04-03 09:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490403 10:00",0.01," "," ","1949-04-03 10:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490403 11:00",0.01," "," ","1949-04-03 11:00:00"
